tipo	Admiration_2	Adoration_2	Aesthetic Appreciation_2	Amusement_2	Anger_2	Annoyance_2	Anxiety_2	Awe_2	Awkwardness_2	Boredom_2	Calmness_2	Concentration_2	Confusion_2	Contemplation_2	Contempt_2	Contentment_2	Craving_2	Desire_2	Determination_2	Disappointment_2	Disapproval_2	Disgust_2	Distress_2	Doubt_2	Ecstasy_2	Embarrassment_2	Empathic Pain_2	Enthusiasm_2	Entrancement_2	Envy_2	Excitement_2	Fear_2	Gratitude_2	Guilt_2	Horror_2	Interest_2	Joy_2	Love_2	Nostalgia_2	Pain_2	Pride_2	Realization_2	Relief_2	Romance_2	Sadness_2	Sarcasm_2	Satisfaction_2	Shame_2	Surprise (negative)_2	Surprise (positive)_2	Sympathy_2	Tiredness_2	Triumph_2
A_Profesional	0	0	0	0	0	0.47338	0	0	0	0	0	0	0.19526	0.32227	0.10071	0	0	0	0	0.50419	0.44764	0	0.11215	0.16833	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.20661	0	0	0	0	0	0	0.15203	0	0	0	0
A_Preparatoria	0	0	0	0	0.10889	0.51696	0	0	0	0	0	0.10519	0.12826	0.22503	0.15576	0	0	0	0	0.5266	0.76906	0	0	0.15806	0	0	0	0	0	0	0	0	0	0	0	0.11158	0	0	0	0	0	0.10062	0	0	0	0	0	0	0.13099	0	0	0	0
A_Profesional	0	0	0	0	0	0	0	0	0	0	0.15719	0	0.13227	0.40078	0	0	0	0	0	0.21862	0.18591	0	0	0.12423	0	0	0	0	0	0	0	0	0	0	0	0.15777	0	0	0	0	0	0.2589	0	0	0	0	0	0	0.1303	0	0	0	0
A_Profesional	0	0	0	0	0	0.29757	0	0	0	0	0	0	0	0	0	0	0	0	0	0.99192	0.18739	0	0.12608	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11278	0	0	0	0	0.57565	0	0	0	0.21339	0	0	0	0
A_Profesional	0	0	0	0	0	0.16373	0.30251	0	0	0	0	0	0	0.21972	0	0	0	0	0	0.37041	0.15576	0	0.26487	0.12211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.13878	0	0	0.30561	0	0	0	0	0	0	0	0
A_Preparatoria	0	0	0	0	0.50821	0.35294	0.10868	0	0	0	0	0	0	0.1348	0.2153	0	0	0	0	0.43897	0.23412	0.19742	0.43485	0	0	0.1177	0.25443	0	0	0	0	0	0	0	0	0	0	0	0	0.41122	0	0.12193	0	0	0.62184	0	0	0.2301	0.1404	0	0	0	0
A_Profesional	0.10406	0	0	0.15444	0	0.18304	0	0	0	0	0	0	0	0	0.10555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.22559	0	0	0	0	0	0	0
A_Preparatoria	0	0	0	0	0.66761	0.44386	0	0	0	0	0	0	0	0	0.45828	0	0	0	0	0.36413	0.57705	0.39466	0.33958	0	0	0	0	0	0	0	0	0	0	0	0.14201	0	0	0	0	0.16226	0	0	0	0	0.18971	0	0	0.10795	0.10167	0	0	0	0
A_Preparatoria	0	0	0	0	0.88714	0.64848	0	0	0	0	0	0	0.1319	0	0.5709	0	0	0	0	0.50394	0.63505	0.45234	0.41762	0	0	0	0.25428	0	0	0	0	0	0	0	0.10073	0	0	0	0	0.22254	0	0	0	0	0.44519	0	0	0.10107	0.30087	0	0.14397	0	0
A_Profesional	0	0	0	0	0.57663	0.17169	0	0	0	0	0	0	0	0.22629	0.32318	0	0	0	0.25501	0.14204	0.30073	0.18688	0.25063	0	0	0	0.26732	0	0	0	0	0	0	0	0.11327	0	0	0	0	0.28035	0	0.2157	0	0	0.15308	0	0	0	0	0	0.1251	0	0
A_Preparatoria	0	0	0	0	0.14994	0.22585	0.15949	0	0	0	0	0	0	0.40475	0.16292	0	0	0	0	0.21099	0.28802	0	0.20664	0.15612	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2035	0	0	0.12577	0	0	0	0	0	0	0	0
A_Profesional	0	0	0	0	0	0	0	0	0	0	0.2281	0.107	0	0.38024	0	0.28382	0	0	0.26278	0	0	0	0	0	0	0	0	0.33582	0	0	0	0	0.18716	0	0	0.17481	0.10956	0	0	0	0	0.26153	0.12234	0	0	0	0.30516	0	0	0	0	0	0
A_Profesional	0	0	0	0	0.35214	0.2401	0	0	0	0	0	0.11013	0.1362	0.48977	0.299	0	0	0	0.1895	0.29425	0.4125	0.1648	0.13127	0.11247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.34996	0	0	0	0	0	0	0.14129	0	0	0	0
A_Profesional	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1189	0	0	0	0	0	0.45489	0	0	0	0	0	0	0.14755	0	0	0	0	0	0	0	0	0.1658	0	0	0	0	0	0	0	0	0.1905	0	0	0	0	0	0.22255	0	0
A_Profesional	0	0	0	0	0	0.16673	0	0	0.14195	0	0	0	0.20168	0.29177	0.114	0	0	0	0	0.18019	0.18875	0	0	0.13139	0	0	0.29285	0	0	0	0	0	0	0.1432	0	0	0	0	0	0	0	0.20348	0	0	0.13285	0	0	0.14524	0	0	0.25464	0	0
